e52,e23,x38,xv38,vinqi
COROCLOSED,coroclosed,coroclosed,,कोरोक्लोज्ड
COROCREATED,corocreated,corocreated,,सहनिर्मित
CORORUNNING,cororunning,cororunning,,कोरोरनिंग
COROUTINE,coroutine,coroutine,,कोरआउटिन
COSINE,cosine,cosine,,कोज्या
COSTACKSIZE,costacksize,costaksize,,लागत-आकार
COUNT,count,count,,गिनती करना
COUNTER,counter,countxr,,विरोध करना
COUNTERA,countera,countxra,,काउंटरेरा
COUNTERABBB,counterabbb,countxrabbb,,काउंटरएबीबी
COUNTERABBBC,counterabbbc,countxrabbbc,,काउंटरएबीबीबीसी
COUNTERB,counterb,countxrb,,काउंटरब
COUNTERBCC,counterbcc,countxrbcc,,काउंटरबीसीसी
COUNTERBCCD,counterbccd,countxrbccd,,काउंटरबीसीसीडी
COUNTERS,counters,countxrs,,काउंटरों
COUNTERWATCH,counterwatch,countxrwatch,,काउंटरवॉच
COUNTERWHICH,counterwhich,countxrwhich,,काउंटरव्हिच
COUNTING,counting,counting,,गिनती
COUNTS,counts,counts,,मायने रखता है
COUPLE,couple,couple,,युगल
COURSE,course,course,,अवधि
COVARNAMES,cowarnames,cowarnames,,कोवर्नाम
CPROGRAM,cprogram,cprogram,,सीप्रोग्राम
CPUS,cpus,cpus,,सीपीयूएस
CPYTHON,cpython,cpython,,सीपीथॉन
CPYTHONLIB,cpythonlib,cpythonlib,,सीपीथॉनलिब
CRASHING,crashing,crashing,,दुर्घटनाग्रस्त
CREATE,create,create,,बनाएं
CREATED,created,created,,बनाया था
CREATEDF,createdf,createdf,,बनाया गया
CREATES,creates,creates,,बनाता है
CREATING,creating,creating,,सृजन
CREATION,creation,creation,,निर्माण
CREATOR,creator,creator,,निर्माता
CRITERIA,criteria,critxria,,मानदंड
CRITICAL,critical,critical,,गंभीर
CRORIGIN,crorigin,crorigin,,क्रोरिगिन
CSTIME,cstime,cstime,,सी.एस.टी.ई.एम
CSV,csw,csw,,सीएसवी
CSVERROR,cswerror,cswxrror,,CSVERROR
CSVEXCEL,cswexcel,cswexcel,,CSVEXCEL
CSVQUOTEALL,cswkuoteall,cswkuoteall,,CSVquoteall
CSVQUOTENONE,cswkuotenone,cswkuotenone,,CSVquotenone
CTIME,ctime,ctime,,सीटाइम
CUBE,cube,cube,,घनक्षेत्र
CUPDATED,cupdated,cupdated,,कपडेटेड
CUPDATEWITCH,cupdatewitch,cupdatiyuitch,,कपडेटविच
CURDIR,curdir,curdir,,दही
CURRENT,current,current,,मौजूदा
CURRENTFRAME,currentframe,currentframe,,वर्तमानफ़्रेम
CURRENTLY,currently,currently,,वर्तमान में
CUSTOM,custom,custom,,रिवाज़
CUSTOMIZE,customize,customize,,अनुकूलित करें
CUSTOMIZED,customized,customized,,अनुकूलित
CUTIME,cutime,cutime,,समय
CVS,cws,cws,,सीवीएस
CWD,cwd,cwd,,सीडब्ल्यूडी
CWDNONE,cwdnone,cwdnone,,CWDNONE
CYCLE,cycle,cycle,,चक्र
DAMAGE,damage,damage,,हानि
DAMAGES,damages,damages,,क्षतियों
DATA,data,data,,डेटा
DATATYPE,datatype,datatype,,डेटा प्रकार
DATATYPES,datatypes,datatypes,,डेटा के प्रकार
DATE,date,date,,तारीख
DATEFMT,datefmt,datefmt,,DATEFMT
DATEFMTNONE,datefmtnone,datefmtnone,,DATEFMTNONE
DATETIME,datetime,datetime,,दिनांक समय
DATETIMEDATE,datetimedate,datetimedate,,दिनांक समय दिनांक
DATETIMETIME,datetimetime,datetimetime,,दिनांकसमयसमय
DATETIMEYEAR,datetimeyear,datetimeyear,,दिनांकसमयवर्ष
DATEYEAR,dateyear,dateyear,,दिनांकवर्ष
DAYS,days,days,,दिन
DAYTODAY,daytoday,daytoday,,दिन प्रतिदिन
DAYUNCHANGED,dayunchanged,dayunchanged,,दिन बदल गया
DCLEAR,dclear,dclear,,डीक्लियर
DCOPY,dcopy,dcopy,,डीकॉपी
DCT,dct,dct,,डीसीटी
DCTIMAG,dctimag,dctimag,,DCTIMAG
DDAATTAA,ddaattaa,ddaattaa,,ददात्ता
DDAATTEE,ddaattee,ddaattee,,ददात्ती
DDAATTEESELF,ddaatteeself,ddaatteeself,,Dदातास्वयं
DDAAYY,ddaayy,ddaayy,,ददयय
DDAAYYSS,ddaayyss,ddaayyss,,DDAAYYSS
DDEEBBUUGG,ddeebbuugg,ddeebbuugg,,DDEEBBUUGG
DDEECCOODDEE,ddeeccooddee,ddeeccooddee,,डीडीईकूडीडी
DDEELLSELF,ddeellself,ddeellself,,DDEELLSELF
DDIICCTT,ddiicctt,ddiicctt,,डीडीआईआईसीसीटीटी
DDIIGGIITTSS,ddiiggiittss,ddiiggiittss,,DDIIGGIITTSS
DDIIRR,ddiirr,ddiirr,,डीडीआईआईआरआर
DDIIRRSELF,ddiirrself,ddiirrself,,DDIIRRSELF
DDIISSTTP,ddiissttp,ddiissttp,,DDIISSTTP
DDOOTTAALLLL,ddoottaallll,ddoottaallll,,DDOOTTAALLLL
DDSSTTSELF,ddssttself,ddssttself,,DDSSTTSELF
DDUUMMPP,dduummpp,dduummpp,,DDUUMMPP
DDUUMMPPSS,dduummppss,dduummppss,,DDUUMMPPSS
DDUUPPFD,dduuppfd,dduuppfd,,DDUUPPFD
DEACTIVATE,deactiwate,deactiwate,,निष्क्रिय करें
DEBUG,debug,debug,,डीबग
DEBUGFALSE,debugfalse,debugfalse,,डिबगफ़ैल्स
DEBUGGER,debugger,debuggxr,,डिबगर
DEBUGGING,debugging,debugging,,डिबगिंग
DECIMAL,decimal,decimal,,दशमलव
DECODE,decode,decode,,डीकोड
DECODED,decoded,decoded,,डीकोड
DECODER,decoder,decodxr,,कूटवाचक
DECODERS,decoders,decodxrs,,डिकोडर
DECODING,decoding,decoding,,डिकोडिंग
DECORATOR,decorator,decorator,,डेकोरेटर
DECORATORS,decorators,decorators,,सज्जाकार
DEEMED,deemed,deemed,,मानना
DEF,def,def,,डीईएफ़
DEFAULT,default,default,,गलती करना
DEFAULTCLASS,defaultclass,defaultclass,,डिफॉल्टक्लास
DEFAULTDICT,defaultdict,defaultdict,,डिफॉल्टडिक्ट
DEFAULTDICTS,defaultdicts,defaultdicts,,डिफॉल्टडिक्ट्स
DEFAULTNONE,defaultnone,defaultnone,,डिफॉल्टनोन
DEFAULTOBJ,defaultobz,defaultobz,,डिफॉल्टओबीजे
DEFAULTS,defaults,defaults,,चूक
DEFAULTSELF,defaultself,defaultself,,डिफ़ॉल्टस्वयं
DEFAULTSNONE,defaultsnone,defaultsnone,,डिफॉल्ट्सनोन
DEFINE,define,define,,परिभाषित करना
DEFINED,defined,defined,,परिभाषित
DEFINES,defines,defines,,को परिभाषित करता है
DEFINING,defining,defining,,परिभाषित
DEFINITION,definition,definition,,परिभाषा
DEGREES,degrees,degrees,,डिग्री
DEL,del,del,,डेल
DELAY,delay,delay,,देरी
DELAYFALSE,delayfalse,delayfalse,,देरीझूठा
DELEGATE,delegate,delegate,,प्रतिनिधि
DELETE,delete,delete,,मिटाना
DELETED,deleted,deleted,,हटाए गए
DELETIONS,deletions,deletions,,हटाए
DELIBERATELY,deliberately,delibxrately,,जान-बूझकर
DELIMITER,delimiter,delimitxr,,परिसीमक
DELTA,delta,delta,,डेल्टा
DELTANONE,deltanone,deltanone,,डेल्टानोन
DENOMINATOR,denominator,denominator,,भाजक
DEPENDENT,dependent,dependent,,आश्रित
DEPENDING,depending,depending,,निर्भर करता है
DEPENDS,depends,depends,,निर्भर करता है
DEPRECATED,deprecated,deprecated,,बहिष्कृत किया गया
DEPTH,depth,depth,,गहराई
DEQUE,dekue,dekue,,डेक
DEQUES,dekues,dekues,,DEQUES
DERIVED,deriwed,dxriwed,,व्युत्पन्न
DESCENDANT,descendant,descendant,,वंशज
DESCENDANTS,descendants,descendants,,वंशज
DESCRIBE,describe,describe,,वर्णन करना
DESCRIBED,described,described,,बताया गया है
DESCRIBES,describes,describes,,वर्णन करता है
DESCRIBING,describing,describing,,का वर्णन
DESCRIPTION,description,description,,विवरण
DESCRIPTIONS,descriptions,descriptions,,विवरण
DESCRIPTOR,descriptor,descriptor,,वर्णनकर्ता
DESCRIPTORS,descriptors,descriptors,,वर्णनकर्ता
DESERIALIZE,deserialize,desxrialize,,deserialize
DESIRED,desired,desired,,इच्छित
DEST,dest,dest,,गंतव्य
DESTINATION,destination,destination,,गंतव्य
DESTINATIONS,destinations,destinations,,गंतव्यों
DETAIL,detail,detail,,विवरण
DETAILS,details,details,,विवरण
DETECT,detect,detect,,पता लगाना
DETECTION,detection,detection,,का पता लगाने
DETERMINE,determine,detxrmine,,ठानना
DETERMINED,determined,detxrmined,,दृढ़ निश्चय वाला
DETERMINES,determines,detxrmines,,निर्धारित करता है
DEV,dew,diyu,,देव
DEVELOPER,dxwxloper,dxwxlopxr,,डेवलपर
DEVICE,dewice,diyuice,,उपकरण
DEVNULL,dewnull,diyunull,,DEVNULL
DGETKD,dgetkd,dgetkd,,डीजीईटीकेडी
DIALECT,dialect,dialect,,बोली
DIALECTEXCEL,dialectexcel,dialectexcel,,डायलेक्टएक्सेल
DIALECTS,dialects,dialects,,बोलियों
DICT,dict,dict,,DICT
DICTDELITEM,dictdelitem,dictdelitem,,dictdelitem
DICTGET,dictget,dictget,,तानाशाही
DICTIONARIES,dictionaries,dictionaries,,शब्दकोश:
DICTIONARY,dictionary,dictionary,,शब्दकोष
DICTIONARYS,dictionarys,dictionarys,,शब्दकोशों
DICTLIKE,dictlike,dictlike,,तानाशाही जैसा
DICTNONE,dictnone,dictnone,,डिक्टनोन
DICTPV,dictpw,dictpw,,DICTPV
DICTREADER,dictreader,dictreadxr,,डिकट्रेडर
DICTS,dicts,dicts,,उपदेश
DICTUPDATE,dictupdate,dictupdate,,तानाशाही
DICTWRITER,dictwriter,dictwritxr,,तानाशाह
DIFF,diff,diff,,अंतर
DIFFER,differ,diffxr,,अलग होना
DIFFERENCE,difference,diffxrence,,अंतर
DIFFERENCES,differences,diffxrences,,मतभेद
DIFFERENT,different,diffxrent,,अलग
DIFFLIB,difflib,difflib,,डिफ़्लिब
DIGIT,digit,digit,,अंक
DIGITS,digits,digits,,अंक
DIMENSION,dimension,dimension,,आयाम
DIMENSIONAL,dimensional,dimensional,,आयामी
DIRCLS,dircls,dircls,,DIRCLS
DIRECT,direct,direct,,प्रत्यक्ष
DIRECTLY,directly,directly,,सीधे
DIRECTORIES,directories,directories,,निर्देशिका
DIRECTORY,directory,directory,,निर्देशिका
DIRENTRY,direntry,direntry,,दिरेंट्री
DIRFD,dirfd,dirfd,,डीआईआरएफडी
DIRFDNONE,dirfdnone,dirfdnone,,DIRFDNONE
DIRNAMES,dirnames,dirnames,,dirnames
DIRPATH,dirpath,dirpath,,दिरपथ
DIRS,dirs,dirs,,डीआईआरएस
DISABLE,disable,disable,,अक्षम करना
DISAGREE,disagree,disagree,,असहमत
DISASTER,disaster,disastxr,,आपदा
DISCLAIMER,disclaimer,disclaimxr,,अस्वीकरण
DISCLAIMS,disclaims,disclaims,,अस्वीकार करता है
DISCOVER,discower,discowxr,,खोज करना
DISCOVERED,discowered,discowxred,,पता चला
DISCOVERY,discowery,discowxry,,खोज
DISK,disk,disk,,डिस्क
DISPATCH,dispatch,dispatch,,प्रेषण
DISPLAYED,displayed,displayed,,दिखाया
DISPLAYHOOK,displayhook,displayhook,,डिस्प्लेहुक
DISPLAYING,displaying,displaying,,दिखा रहा
DISPLAYS,displays,displays,,प्रदर्शित करता है
DISTANCE,distance,distance,,दूरी
DITEMS,ditems,ditems,,DITEMS
DIVISOR,diwisor,diwisor,,भाजक
DIVMODSELF,diwmodself,diwmodself,,डिवमोडसेल्फ
DIVMODVALUE,diwmodwalue,diwmodwalue,,डिवमोडवैल्यू
DKD,dkd,dkd,,डीकेडी
DKEYS,dkeys,dkeys,,DKEYS
DLL,dll,dll,,डीएलएल
DLLHANDLE,dllhandle,dllhandle,,DLLहैंडल
DLLS,dlls,dlls,,डीएलएलएस
DLOPEN,dlopen,dlopen,,डलोपेन
DOC,doc,doc,,डॉक्टर
DOCS,docs,docs,,डॉक्स
DOCSTRING,docstring,docstring,,डॉकस्ट्रिंग
DOCSTRINGS,docstrings,docstrings,,डॉकस्ट्रिंग्स
DOCUMENT,document,document,,दस्तावेज़
DOCUMENTS,documents,documents,,दस्तावेजों
DOES,does,does,,करता है
DOESNT,doesnt,doesnt,,does not है
DOING,doing,doing,,कर रहा है
DOMAIN,domain,domain,,कार्यक्षेत्र
DONE,done,done,,हो गया
DONT,dont,dont,,नहीं
DOS,dos,dos,,डॉस
DOSOMETHING,dosomething,dosomething,,कुछ करना
DOTALL,dotall,dotall,,डॉटॉल
DOTTED,dotted,dotted,,छितराया हुआ
DOUBLE,double,double,,दोहरा
DOUBLEQUOTE,doublekuote,doublekuote,,दोहरा उद्धरण
DOUBT,doubt,doubt,,संदेह
DPOPITEM,dpopitem,dpopitem,,डीपीओपीआईटीईएम
DPOPKD,dpopkd,dpopkd,,डीपीओपीकेडी
DRIVE,driwe,driwe,,गाड़ी चलाना
DRIVES,driwes,driwes,,ड्राइव
DROP,drop,drop,,बूँद
DST,dst,dst,,डीएसटी
DSTDIRFD,dstdirfd,dstdirfd,,डीएसटीडीआईआरएफडी
DSTDIRFDNONE,dstdirfdnone,dstdirfdnone,,DSTDIRFDNONE
DUCK,duck,duk,,बत्तख
DUCKTYPING,ducktyping,duktyping,,डकटाइपिंग
DUMP,dump,dump,,गंदी जगह
DUMPS,dumps,dumps,,उदासीनता
DUPDATEE,dupdatee,dupdatee,,डुडेटी
DUPLICATE,duplicate,duplicate,,डुप्लीकेट
DURATION,duration,duration,,अवधि
DURING,during,during,,दौरान
DVALUES,dwalues,dwalues,,Dमूल्य
DYNAMIC,dynamic,dynamic,,गतिशील
DYNAMICALLY,dynamically,dynamically,,गतिशील
EARLIER,earlier,earlixr,,पहले
EARLY,early,early,,जल्दी
EASIER,easier,easixr,,आसान
EAST,east,east,,पूर्व
EASY,easy,easy,,आसान
ECHO,echo,echo,,गूंज
ECMA,ecma,ecma,,ऐक्मा
EDITION,edition,edition,,संस्करण
EEMMIITTSELF,eemmiittself,eemmiittself,,ईम्मिट्सेल्फ़
EEMMPPTTYY,eemmppttyy,eemmppttyy,,EEMMPPTTYY
EENNDDPPOOSS,eennddppooss,eennddppooss,,EENNDDPPOOSS
EENNDDSELF,eennddself,eennddself,,EENNDDSELF
EEQQSELF,eekkself,eekkself,,EEQQस्वयं
EERRFFCCX,eerrffccx,exrrffccx,,EERRFFCCX
EERRFFX,eerrffx,exrrffx,,EERRFFX
EERRRRNNOO,eerrrrnnoo,exrrrrnnoo,,ERRRNNOO
EERRRROORR,eerrrroorr,exrrrroorr,,ईर्रर्रूरर्र
EEXXIITTSELF,eexxiittself,eexxiittself,,EEXXIITTSELF
EEXXOOKK,eexxookk,eexxookk,,EEXXOOKK
EEXXPPMMX,eexxppmmx,eexxppmmx,,EEXXPPMMX
EEXXPPX,eexxppx,eexxppx,,EEXXPPX
EEXXTTSSEEPP,eexxttsseepp,eexxttsseepp,,EEXXTTSSEEPP
EFFECT,effect,effect,,प्रभाव
EFFECTIVE,effectiwe,effectiwe,,असरदार
EFFECTIVEIDS,effectiweids,effectiweids,,प्रभावशाली आईडीएस
EFFECTIVELY,effectiwely,effectiwely,,प्रभावी रूप से
EITHER,either,eithxr,,दोनों में से एक
EKEYS,ekeys,ekeys,,EKEYS
ELAPSED,elapsed,elapsed,,बीत गया
ELAPSEDTIME,elapsedtime,elapsedtime,,बीता हुआ समय
ELEM,elem,elem,,ELEM
ELEMENT,element,element,,तत्व
ELEMENTS,elements,elements,,तत्वों
ELIMINATE,eliminate,eliminate,,हटाना
ELSE,else,else,,अन्य
EMBEDDED,embedded,embedded,,अंतर्निहित
EMISSION,emission,emission,,उत्सर्जन
EMIT,emit,emit,,फेंकना
EMITTED,emitted,emitted,,उत्सर्जित
EMPTY,empty,empty,,खाली
ENABLE,enable,enable,,सक्षम
ENABLED,enabled,enabled,,सक्षम
ENABLES,enables,enables,,सक्षम बनाता है
ENCAPSULATES,encapsulates,encapsulates,,समाहित
ENCLOSED,enclosed,enclosed,,संलग्न करना
ENCODABLE,encodable,encodable,,एन्कोडेबल
ENCODE,encode,encode,,एन्कोड
ENCODED,encoded,encoded,,इनकोडिंग
ENCODER,encoder,encodxr,,एनकोडर
ENCODERS,encoders,encodxrs,,इनकोडर्स
ENCODING,encoding,encoding,,एन्कोडिंग
ENCODINGNONE,encodingnone,encodingnone,,एनकोडिंगनोन
ENCODINGUTF,encodingutf,encodingutf,,एन्कोडिंगUTF
ENCOUNTERED,encountered,encountxred,,का सामना
END,end,end,,अंत
ENDED,ended,ended,,समाप्त
ENDOFBLOCK,endofblock,endofblok,,एंडोफ़ब्लॉक
ENDPOINTS,endpoints,endpoints,,अंतिमबिंदुओं
ENDPOS,endpos,endpos,,ENDPOS
ENFORCED,enforced,enforced,,से लागू
ENGINE,engine,engine,,इंजन
ENHANCEMENTS,enhancements,enhancements,,संवर्द्धन
ENOUGH,enough,enough,,पर्याप्त
ENSURE,ensure,ensure,,सुनिश्चित करना
ENSUREASCII,ensureascii,ensureascii,,सुनिश्चित करना II
ENSURES,ensures,ensures,,सुनिश्चित करता है
ENTER,enter,entxr,,प्रवेश करना
ENTERCONTEXT,entercontext,entxrcontext,,मनोरंजन संदर्भ
ENTERS,enters,entxrs,,प्रवेश करती है
ENTIRE,entire,entire,,पूरा
ENTITIES,entities,entities,,"इकाइयां,"
ENTRIES,entries,entries,,प्रविष्टियां
ENTRY,entry,entry,,प्रवेश
ENTRYNAME,entryname,entryname,,प्रवेश नाम
ENTRYS,entrys,entrys,,प्रवेश
ENUM,enum,enum,,ENUM
ENUMENUM,enumenum,enumenum,,ENUMENUM
ENUMENUMTYPE,enumenumtype,enumenumtype,,ENUMENUMTYPE
ENUMERATION,enumeration,enumxration,,गणना
ENUMFLAG,enumflag,enumflag,,एनमफ्लैग
ENUMINTFLAG,enumintflag,enumintflag,,एनुमिंटफ़्लैग
ENUMREPRENUM,enumreprenum,enumreprenum,,एनुम्रेप्रेनम
ENV,enw,enw,,ईएनवी
ENVIRONMENT,enwironment,enwironment,,पर्यावरण
EPILOG,epilog,epilog,,उपसंहार
EPILOGNONE,epilognone,epilognone,,EPILOGNONE
EPOCH,epoch,epoch,,युग
EQUAL,ekual,ekual,,बराबर
EQUALITY,ekuality,ekuality,,समानता
EQUIVALENT,ekuiwalent,ekuiwalent,,समकक्ष
EQUIVALENTS,ekuiwalents,ekuiwalents,,समकक्ष
ERICH,erich,xrich,,एरिक
EROWCOL,erowcol,xrowcol,,एरोकोल
ERR,err,xrr,,ग़लती होना
ERRMSG,errmsg,xrrmsg,,ईआरआरएमएसजी
ERROR,error,xrror,,गलती
ERRORED,errored,xrrored,,त्रुटिपूर्ण
ERRORMESSAGE,errormessage,xrrormessage,,त्रुटि संदेश
ERRORMSG,errormsg,xrrormsg,,त्रुटियांजी
ERRORS,errors,xrrors,,त्रुटियों
ERRORSNONE,errorsnone,xrrorsnone,,त्रुटियाँनहीं
ERRORSSTRICT,errorsstrict,xrrorsstrict,,त्रुटिपूर्ण
ESCAPE,escape,escape,,पलायन
ESCAPECHAR,escapechar,escapechar,,एस्केपेचर
ESCAPED,escaped,escaped,,भाग गये
ESCAPES,escapes,escapes,,निकल जाता है
ESSENTIALLY,essentially,essentially,,अनिवार्य रूप से
ETC,etc,etc,,वगैरह
EUCLIDEAN,euclidean,euclidean,,इयूक्लिडियन
EVAL,ewal,iyual,,ईवीएएल
EVALSTR,ewalstr,iyualstr,,EVALSTR
EVALSTRFALSE,ewalstrfalse,iyualstrfalse,,Evalstrfalse
EVALUATED,ewaluated,iyualuated,,का मूल्यांकन
EVALUATES,ewaluates,iyualuates,,मूल्यांकन करता है
EVALUATION,ewaluation,iyualuation,,मूल्यांकन
EVEN,ewen,iwxn,,यहां तक ​​की
EVENT,ewent,iwxnt,,आयोजन
EVENTS,ewents,iwxnts,,घटनाएँ
EVERY,ewery,xwxry,,प्रत्येक
EXACT,exact,exact,,एकदम सही
EXACTLY,exactly,exactly,,बिल्कुल
EXAMINE,examine,examine,,परीक्षण करना
EXAMINED,examined,examined,,जांच की
EXAMINING,examining,examining,,की जांच
EXAMPLE,example,example,,उदाहरण
EXAMPLES,examples,examples,,उदाहरण
EXCEL,excel,excel,,एक्सेल
EXCELLENT,excellent,excellent,,उत्कृष्ट
EXCELTAB,exceltab,exceltab,,एक्सेलटैब
EXCEPT,except,except,,के अलावा
EXCEPTHOOK,excepthook,excepthook,,एक्सेप्टहुक
EXCEPTION,exception,exception,,अपवाद
EXCEPTIONS,exceptions,exceptions,,अपवाद
EXCINFO,excinfo,excinfo,,Excinfo
EXCINFOTRUE,excinfotrue,excinfotrue,,Excinfotrue
EXCLUDING,excluding,excluding,,को छोड़कर
EXCLUSIVE,exclusiwe,exclusiwe,,अनन्य
EXCTRACEBACK,exctraceback,exctracebak,,एक्स्ट्रासेबैक
EXCTYPE,exctype,exctype,,EXCTYPE
EXCVALUE,excwalue,excwalue,,बहिष्कृत मूल्य
EXECLEFILE,execlefile,execlefile,,EXECLEफ़ाइल
EXECLFILE,execlfile,execlfile,,EXECLफ़ाइल
EXECLPEFILE,execlpefile,execlpefile,,उदाहरण फ़ाइल
EXECLPFILE,execlpfile,execlpfile,,EXECLPफ़ाइल
EXECPREFIX,execprefix,execprefix,,EXECPREFIX
EXECUTABLE,executable,executable,,निष्पादन
EXECUTABLES,executables,executables,,निष्पादनयोग्य
EXECUTE,execute,execute,,निष्पादित करना
EXECUTED,executed,executed,,निष्पादित
EXECUTES,executes,executes,,कार्यान्वित
EXECUTING,executing,executing,,निष्पादित
EXECUTION,execution,execution,,कार्यान्वयन
EXECVPEFILE,execwpefile,execwpefile,,EXECVPEफ़ाइल
EXECVPFILE,execwpfile,execwpfile,,EXECVPफ़ाइल
EXERCISING,exercising,exxrcising,,व्यायाम
EXHAUSTED,exhausted,exhausted,,थका हुआ
EXIST,exist,exist,,अस्तित्व
EXISTENCE,existence,existence,,अस्तित्व
EXISTING,existing,existing,,मौजूदा
EXISTOK,existok,existok,,एक्सिस्टोक
EXISTOKFALSE,existokfalse,existokfalse,,EXISTOKFALSE
EXISTS,exists,exists,,मौजूद है
EXIT,exit,exit,,बाहर निकलना
EXITED,exited,exited,,बाहर निकल गया
EXITING,exiting,exiting,,बाहर निकल रहा है
EXITONERROR,exitonerror,exitonxrror,,एक्जिटोनरर
EXITS,exits,exits,,बाहर निकलता है
EXITTRUE,exittrue,exittrue,,बाहर निकलें
EXPANDED,expanded,expanded,,विस्तार
EXPANSION,expansion,expansion,,विस्तार
EXPECT,expect,expect,,अपेक्षा करना
EXPECTED,expected,expected,,अपेक्षित
EXPECTING,expecting,expecting,,उम्मीद
EXPLICIT,explicit,explicit,,मुखर यौन
EXPLICITLY,explicitly,explicitly,,स्पष्ट रूप से
EXPLORER,explorer,explorxr,,एक्सप्लोरर
EXPONENT,exponent,exponent,,प्रतिपादक
EXPORTS,exports,exports,,निर्यात
EXPOSES,exposes,exposes,,को उजागर करता है
EXPR,expr,expr,,EXPR
EXPRESSED,expressed,expressed,,व्यक्त
EXPRESSING,expressing,expressing,,जताते
EXPRESSION,expression,expression,,अभिव्यक्ति
EXPRESSIONS,expressions,expressions,,अभिव्यक्ति
EXPX,expx,expx,,EXPX
EXT,ext,ext,,EXT
EXTEND,extend,extend,,बढ़ाना
EXTENDED,extended,extended,,विस्तारित
EXTENSIBLE,extensible,extensible,,एक्स्टेंसिबल
EXTENSION,extension,extension,,विस्तार
EXTERNAL,external,extxrnal,,बाहरी
EXTERNALLY,externally,extxrnally,,बाह्य
EXTRA,extra,extra,,अतिरिक्त
EXTRACT,extract,extract,,निकालना
EXTRANEOUS,extraneous,extraneous,,बाहरी
EXTRANONE,extranone,extranone,,एक्स्ट्रानोन
FACT,fact,fact,,तथ्य
FACTORS,factors,factors,,कारकों
FACTORY,factory,factory,,कारखाना
FAIL,fail,fail,,असफल
FAILED,failed,failed,,असफल
FAILFASTNONE,failfastnone,failfastnone,,फ़ेलफ़स्टननोन
FAILS,fails,fails,,विफल रहता है
FAILURE,failure,failure,,असफलता
FAILUREERROR,failureerror,failurexrror,,विफलतात्रुटि
FAILURES,failures,failures,,विफलताएं
FALLS,falls,falls,,फॉल्स
FALSE,false,false,,असत्य
FAMILIAR,familiar,familiar,,परिचित
FASHION,fashion,fashion,,पहनावा
FAST,fast,fast,,तेज़
FAVAIL,fawail,fawail,,पसंदीदा
FBACK,fback,fbak,,एफबैक
FBAV,fbaw,fbaw,,एफबीएवी
FBFREE,fbfree,fbfree,,एफबीफ्री
FBLOCKS,fblocks,fbloks,,एफब्लॉक्स
FBSIZE,fbsize,fbsize,,एफबीआकार
FBUILTINS,fbuiltins,fbuiltins,,एफबिल्टिन्स
FCODE,fcode,fcode,,एफसीओडीई
FDHIGH,fdhigh,fdhigh,,FDHIGH
FDLOW,fdlow,fdlow,,FDLOW
FEATURE,feature,feature,,विशेषता
FEATURES,features,features,,विशेषताएँ
FEBRUARY,february,february,,फ़रवरी
FETCH,fetch,fetch,,लाना
FFAABBSSX,ffaabbssx,ffaabbssx,,एफएफएएबीबीएसएक्स
FFAAIILLSELF,ffaaiillself,ffaaiillself,,FFAAIILLSELF
FFAATTAALL,ffaattaall,ffaattaall,,FFAATTAALL
FFBBFFRREEEE,ffbbffrreeee,ffbbffrreeee,,एफएफबीबीएफएफआरआरईईई
FFBBSSIIZZEE,ffbbssiizzee,ffbbssiizzee,,एफएफबीबीएससिज्जी
FFFFFFRREEEE,ffffffrreeee,ffffffrreeee,,उफ़्फ़्फ़्फ़फ़्र्रीईईईईईईईईईईईईईईईईईईईईईईई
FFFFIILLEESS,ffffiilleess,ffffiilleess,,फ़फ़फ़िलीस
FFFFLLAAGG,ffffllaagg,ffffllaagg,,FFFFLLAAGG
FFFFSSIIDD,ffffssiidd,ffffssiidd,,एफएफएफएफएसएसआईडीडी
FFIIEELLDDSS,ffiieellddss,ffiieellddss,,FFIIEELLDDSS
FFIILLEE,ffiillee,ffiillee,,FFIILLEE
FFIINNDDSELF,ffiinnddself,ffiinnddself,,FFIINDDSELF
FFLLAAGGSS,ffllaaggss,ffllaaggss,,FFLLAAGGSS
FFLLOOOORRX,fflloooorrx,fflloooorrx,,FFLOOOORRX
FFMMAAX,ffmmaax,ffmmaax,,एफएफएममैक्स
FFMMOODDX,ffmmooddx,ffmmooddx,,FFMMOODDX
FFOOKK,ffookk,ffookk,,फफुक्क
FFOOLLDD,ffoolldd,ffoolldd,,FFFOOLLD
FFOORRMMAATT,ffoorrmmaatt,ffoorrmmaatt,,FFOORRMMAAT
FFREE,ffree,ffree,,एफमुफ़्त
FFRRAAMMEE,ffrraammee,ffrraammee,,FFRAAMME
FFRREEXXPPX,ffrreexxppx,ffrreexxppx,,FFRREEXXPPX
FFRSIZE,ffrsize,ffrsize,,एफएफआरआकार
FFSSTTAATTFD,ffssttaattfd,ffssttaattfd,,FFSSTTAATTFD
FFSSUUMMSEQ,ffssuummsek,ffssuummsek,,FFSSUUMSEQ
FFSSYYNNCCFD,ffssyynnccfd,ffssyynnccfd,,FFSSYYNNCCFD
FGLOBALS,fglobals,fglobals,,एफग्लोबल्स
FIELD,field,field,,मैदान
FIELDNAME,fieldname,fieldname,,फ़ील्डनाम
FIELDNAMES,fieldnames,fieldnames,,फ़ील्डनाम
FIELDS,fields,fields,,खेत
FIFO,fifo,fifo,,फीफो
FILE,file,file,,फ़ाइल
FILEFINDERPA,filefinderpa,filefindxrpa,,फ़ाइलफ़ाइंडरपा
FILEHANDLER,filehandler,filehandlxr,,फाइलहैंडलर
