Row 2: e52=a | vinqi=है | pnzabi=হৈ | guzraji=হৈ | xg38=vxi
Row 756: e52=difference | vinqi=अंतर | pnzabi=অংতর | guzraji=অংতর | xg38=xnjr
Row 757: e52=different | vinqi=विभिन्न | pnzabi=঵িভিন্ন | guzraji=঵িভিন্ন | xg38=wiBinn
Row 758: e52=differently | vinqi=अलग ढंग से | pnzabi=অলগ ঢংগ সে | guzraji=অলগ ঢংগ সে | xg38=xlg DNg se
Row 759: e52=difficult | vinqi=कठिन | pnzabi=কঠিন | guzraji=কঠিন | xg38=kTin
Row 760: e52=difficulty | vinqi=कठिनाई | pnzabi=কঠিনাঈ | guzraji=কঠিনাঈ | xg38=kTinai
Row 761: e52=dig | vinqi=गड्ढा करना | pnzabi=গড্ঢা করনা | guzraji=গড্ঢা করনা | xg38=gdDa krna
Row 762: e52=digital | vinqi=डिजिटल | pnzabi=ডিজিটল | guzraji=ডিজিটল | xg38=dizitl
Row 763: e52=dimension | vinqi=आयाम | pnzabi=আযাম | guzraji=আযাম | xg38=xayam
Row 764: e52=dining | vinqi=भोजन | pnzabi=ভোজন | guzraji=ভোজন | xg38=Bozn
Row 765: e52=dinner | vinqi=रात का खाना | pnzabi=রাত কা খানা | guzraji=রাত কা খানা | xg38=raj ka Kana
Row 766: e52=direct | vinqi=प्रत्यक्ष | pnzabi=প্রত্যক্ষ | guzraji=প্রত্যক্ষ | xg38=prjyS
Row 767: e52=direction | vinqi=दिशा | pnzabi=দিশা | guzraji=দিশা | xg38=qiSa
Row 768: e52=directly | vinqi=सीधे | pnzabi=সীধে | guzraji=সীধে | xg38=siQe
Row 769: e52=director | vinqi=निर्देशक | pnzabi=নির্দেশক | guzraji=নির্দেশক | xg38=nirqeSk
Row 770: e52=dirt | vinqi=गंध | pnzabi=গংধ | guzraji=গংধ | xg38=gnQ
Row 771: e52=dirty | vinqi=गंदा | pnzabi=গংদা | guzraji=গংদা | xg38=gnqa
Row 772: e52=disability | vinqi=विकलांगता | pnzabi=঵িকলাংগতা | guzraji=঵িকলাংগতা | xg38=wiklaNgja
Row 773: e52=disagree | vinqi=असहमत | pnzabi=অসহমত | guzraji=অসহমত | xg38=xsvmj
Row 774: e52=disappear | vinqi=गायब होना | pnzabi=গাযব হোনা | guzraji=গাযব হোনা | xg38=gayb vona
Row 775: e52=disaster | vinqi=आपदा | pnzabi=আপদা | guzraji=আপদা | xg38=xapqa
Row 776: e52=discipline | vinqi=अनुशासन | pnzabi=অনুশাসন | guzraji=অনুশাসন | xg38=xnuSasn
Row 777: e52=discourse | vinqi=प्रवचन | pnzabi=প্র঵চন | guzraji=প্র঵চন | xg38=prwcn
Row 778: e52=discover | vinqi=खोज करना | pnzabi=খোজ করনা | guzraji=খোজ করনা | xg38=Koz krna
Row 779: e52=discovery | vinqi=खोज | pnzabi=খোজ | guzraji=খোজ | xg38=Koz
Row 780: e52=discrimination | vinqi=भेदभाव | pnzabi=ভেদভা঵ | guzraji=ভেদভা঵ | xg38=BeqBaw
Row 781: e52=discuss | vinqi=चर्चा करें | pnzabi=চর্চা করেং | guzraji=চর্চা করেং | xg38=crca kre
Row 782: e52=discussion | vinqi=बहस | pnzabi=বহস | guzraji=বহস | xg38=bvs
Row 783: e52=disease | vinqi=बीमारी | pnzabi=বীমারী | guzraji=বীমারী | xg38=bimari
Row 784: e52=dish | vinqi=व्यंजन | pnzabi=঵্যংজন | guzraji=঵্যংজন | xg38=wynzn
Row 785: e52=dismiss | vinqi=नकार देना | pnzabi=নকার দেনা | guzraji=নকার দেনা | xg38=nkar qena
Row 786: e52=disorder | vinqi=विकार | pnzabi=঵িকার | guzraji=঵িকার | xg38=wikar
Row 787: e52=display | vinqi=दिखाना | pnzabi=দিখানা | guzraji=দিখানা | xg38=qiKana
Row 788: e52=dispute | vinqi=विवाद | pnzabi=঵ি঵াদ | guzraji=঵ি঵াদ | xg38=wiwaq
Row 789: e52=distance | vinqi=दूरी | pnzabi=দূরী | guzraji=দূরী | xg38=quri
Row 790: e52=distant | vinqi=दूरस्थ | pnzabi=দূরস্থ | guzraji=দূরস্থ | xg38=qursJ
Row 791: e52=distinct | vinqi=अलग | pnzabi=অলগ | guzraji=অলগ | xg38=xlg
Row 792: e52=distinction | vinqi=भेद | pnzabi=ভেদ | guzraji=ভেদ | xg38=Beq
Row 793: e52=distinguish | vinqi=अंतर करना | pnzabi=অংতর করনা | guzraji=অংতর করনা | xg38=xnjr krna
Row 794: e52=distribute | vinqi=बांटो | pnzabi=বাংটো | guzraji=বাংটো | xg38=banto
Row 795: e52=distribution | vinqi=वितरण | pnzabi=঵িতরণ | guzraji=঵িতরণ | xg38=wijrn
Row 796: e52=district | vinqi=जिला Seoni | pnzabi=জিলা Seoni | guzraji=জিলা Seoni | xg38=zila Seoni
Row 797: e52=diverse | vinqi=विविध | pnzabi=঵ি঵িধ | guzraji=঵ি঵িধ | xg38=wiwiQ
Row 798: e52=diversity | vinqi=विविधता | pnzabi=঵ি঵িধতা | guzraji=঵ি঵িধতা | xg38=wiwiQja
Row 799: e52=divide | vinqi=विभाजित करना | pnzabi=঵িভাজিত করনা | guzraji=঵িভাজিত করনা | xg38=wiBazij krna
Row 800: e52=division | vinqi=विभाजन | pnzabi=঵িভাজন | guzraji=঵িভাজন | xg38=wiBazn
Row 801: e52=divorce | vinqi=तलाक | pnzabi=তলাক | guzraji=তলাক | xg38=jlak
Row 802: e52=dna | vinqi=डीएनए | pnzabi=ডীএনএ | guzraji=ডীএনএ | xg38=dienye
Row 803: e52=do | vinqi=करना | pnzabi=করনা | guzraji=করনা | xg38=krna
Row 804: e52=doctor | vinqi=चिकित्सक | pnzabi=চিকিত্সক | guzraji=চিকিত্সক | xg38=cikijsk
Row 805: e52=document | vinqi=दस्तावेज़ | pnzabi=দস্তা঵েজ় | guzraji=দস্তা঵েজ় | xg38=qsjawez
Row 806: e52=dog | vinqi=कुत्ता | pnzabi=কুত্তা | guzraji=কুত্তা | xg38=kujja
Row 807: e52=domestic | vinqi=घरेलू | pnzabi=ঘরেলূ | guzraji=ঘরেলূ | xg38=Grelu
Row 808: e52=dominant | vinqi=प्रभुत्व वाला | pnzabi=প্রভুত্঵ ঵ালা | guzraji=প্রভুত্঵ ঵ালা | xg38=prBujw wala
Row 809: e52=dominate | vinqi=हावी होना | pnzabi=হা঵ী হোনা | guzraji=হা঵ী হোনা | xg38=vawi vona
Row 810: e52=door | vinqi=द्वार | pnzabi=দ্঵ার | guzraji=দ্঵ার | xg38=qwar
Row 811: e52=double | vinqi=दोहरा | pnzabi=দোহরা | guzraji=দোহরা | xg38=qovra
Row 812: e52=doubt | vinqi=शक | pnzabi=শক | guzraji=শক | xg38=Sk
Row 813: e52=down | vinqi=नीचे | pnzabi=নীচে | guzraji=নীচে | xg38=nice
Row 814: e52=downtown | vinqi=शहर | pnzabi=শহর | guzraji=শহর | xg38=Svr
Row 815: e52=dozen | vinqi=दर्जन | pnzabi=দর্জন | guzraji=দর্জন | xg38=qrzn
Row 816: e52=draft | vinqi=प्रारूप | pnzabi=প্রারূপ | guzraji=প্রারূপ | xg38=prarup
Row 817: e52=drag | vinqi=खींचें | pnzabi=খীংচেং | guzraji=খীংচেং | xg38=Kince
Row 818: e52=drama | vinqi=नाटक | pnzabi=নাটক | guzraji=নাটক | xg38=natk
Row 819: e52=dramatic | vinqi=नाटकीय | pnzabi=নাটকীয | guzraji=নাটকীয | xg38=natkiy
Row 820: e52=dramatically | vinqi=नाटकीय रूप से | pnzabi=নাটকীয রূপ সে | guzraji=নাটকীয রূপ সে | xg38=natkiy rup se
Row 821: e52=draw | vinqi=चित्र बनाना | pnzabi=চিত্র বনানা | guzraji=চিত্র বনানা | xg38=cijr bnana
Row 822: e52=drawing | vinqi=चित्रकारी | pnzabi=চিত্রকারী | guzraji=চিত্রকারী | xg38=cijrkari
Row 823: e52=dream | vinqi=सपना | pnzabi=সপনা | guzraji=সপনা | xg38=spna
Row 824: e52=dress | vinqi=पोशाक | pnzabi=পোশাক | guzraji=পোশাক | xg38=poSak
Row 825: e52=drink | vinqi=पीना | pnzabi=পীনা | guzraji=পীনা | xg38=pina
Row 826: e52=drive | vinqi=चलाना | pnzabi=চলানা | guzraji=চলানা | xg38=clana
Row 827: e52=driver | vinqi=चालक | pnzabi=চালক | guzraji=চালক | xg38=calk
Row 828: e52=drop | vinqi=बूंद | pnzabi=বূংদ | guzraji=বূংদ | xg38=bunq
Row 829: e52=drug | vinqi=दवा | pnzabi=দ঵া | guzraji=দ঵া | xg38=qwa
Row 830: e52=dry | vinqi=सूखा | pnzabi=সূখা | guzraji=সূখা | xg38=suKa
Row 831: e52=due | vinqi=बकाया | pnzabi=বকাযা | guzraji=বকাযা | xg38=bkaya
Row 832: e52=during | vinqi=दौरान | pnzabi=দৌরান | guzraji=দৌরান | xg38=qouran
Row 833: e52=dust | vinqi=धूल | pnzabi=ধূল | guzraji=ধূল | xg38=Qul
Row 834: e52=duty | vinqi=कर्तव्य | pnzabi=কর্ত঵্য | guzraji=কর্ত঵্য | xg38=krjwy
Row 835: e52=each | vinqi=प्रत्येक | pnzabi=প্রত্যেক | guzraji=প্রত্যেক | xg38=prjyek
Row 836: e52=eager | vinqi=आतुर | pnzabi=আতুর | guzraji=আতুর | xg38=xajur
Row 837: e52=ear | vinqi=कान | pnzabi=কান | guzraji=কান | xg38=kan
Row 838: e52=early | vinqi=जल्दी | pnzabi=জল্দী | guzraji=জল্দী | xg38=zlqi
Row 839: e52=earn | vinqi=कमाना | pnzabi=কমানা | guzraji=কমানা | xg38=kmana
Row 840: e52=earnings | vinqi=आय | pnzabi=আয | guzraji=আয | xg38=xay
Row 841: e52=earth | vinqi=धरती | pnzabi=ধরতী | guzraji=ধরতী | xg38=Qrji
Row 842: e52=ease | vinqi=आराम | pnzabi=আরাম | guzraji=আরাম | xg38=xaram
Row 843: e52=easily | vinqi=सरलता | pnzabi=সরলতা | guzraji=সরলতা | xg38=srlja
Row 844: e52=east | vinqi=पूर्व | pnzabi=পূর্঵ | guzraji=পূর্঵ | xg38=purw
Row 845: e52=eastern | vinqi=पूर्व का | pnzabi=পূর্঵ কা | guzraji=পূর্঵ কা | xg38=purw ka
Row 846: e52=easy | vinqi=आसान | pnzabi=আসান | guzraji=আসান | xg38=xasan
Row 847: e52=eat | vinqi=खाना खा लो | pnzabi=খানা খা লো | guzraji=খানা খা লো | xg38=Kana Ka lo
Row 848: e52=economic | vinqi=आर्थिक | pnzabi=আর্থিক | guzraji=আর্থিক | xg38=xarJik
Row 849: e52=economics | vinqi=अर्थशास्त्र | pnzabi=অর্থশাস্ত্র | guzraji=অর্থশাস্ত্র | xg38=xrJSasjr
Row 850: e52=economist | vinqi=अर्थशास्त्री | pnzabi=অর্থশাস্ত্রী | guzraji=অর্থশাস্ত্রী | xg38=xrJSasjri
Row 851: e52=economy | vinqi=अर्थव्यवस्था | pnzabi=অর্থ঵্য঵স্থা | guzraji=অর্থ঵্য঵স্থা | xg38=xrJwywsJa
Row 852: e52=edge | vinqi=किनारा | pnzabi=কিনারা | guzraji=কিনারা | xg38=kinara
Row 853: e52=edition | vinqi=संस्करण | pnzabi=সংস্করণ | guzraji=সংস্করণ | xg38=snskrn
Row 854: e52=editor | vinqi=संपादक | pnzabi=সংপাদক | guzraji=সংপাদক | xg38=smpaqk
Row 855: e52=educate | vinqi=शिक्षित | pnzabi=শিক্ষিত | guzraji=শিক্ষিত | xg38=SiSij
Row 856: e52=education | vinqi=शिक्षा | pnzabi=শিক্ষা | guzraji=শিক্ষা | xg38=SiSa
Row 857: e52=educational | vinqi=शिक्षात्मक | pnzabi=শিক্ষাত্মক | guzraji=শিক্ষাত্মক | xg38=SiSajmk
Row 858: e52=educator | vinqi=शिक्षक | pnzabi=শিক্ষক | guzraji=শিক্ষক | xg38=SiSk
Row 859: e52=effect | vinqi=प्रभाव | pnzabi=প্রভা঵ | guzraji=প্রভা঵ | xg38=prBaw
Row 860: e52=effective | vinqi=प्रभावी | pnzabi=প্রভা঵ী | guzraji=প্রভা঵ী | xg38=prBawi
Row 861: e52=effectively | vinqi=प्रभावी रूप से | pnzabi=প্রভা঵ী রূপ সে | guzraji=প্রভা঵ী রূপ সে | xg38=prBawi rup se
Row 862: e52=efficiency | vinqi=क्षमता | pnzabi=ক্ষমতা | guzraji=ক্ষমতা | xg38=Smja
Row 863: e52=efficient | vinqi=दक्ष | pnzabi=দক্ষ | guzraji=দক্ষ | xg38=qS
Row 864: e52=effort | vinqi=कोशिश | pnzabi=কোশিশ | guzraji=কোশিশ | xg38=koSiS
Row 865: e52=egg | vinqi=अंडा | pnzabi=অংডা | guzraji=অংডা | xg38=xnda
Row 866: e52=eight | vinqi=आठ | pnzabi=আঠ | guzraji=আঠ | xg38=xaT
Row 867: e52=either | vinqi=या | pnzabi=যা | guzraji=যা | xg38=ya
Row 868: e52=elderly | vinqi=बुज़ुर्ग | pnzabi=বুজ়ুর্গ | guzraji=বুজ়ুর্গ | xg38=buzurg
Row 869: e52=elect | vinqi=इलेक्ट्रोनिक | pnzabi=ইলেক্ট্রোনিক | guzraji=ইলেক্ট্রোনিক | xg38=ilektronik
Row 870: e52=election | vinqi=चुनाव | pnzabi=চুনা঵ | guzraji=চুনা঵ | xg38=cunaw
Row 871: e52=electric | vinqi=बिजली | pnzabi=বিজলী | guzraji=বিজলী | xg38=bizli
Row 872: e52=electricity | vinqi=बिजली | pnzabi=বিজলী | guzraji=বিজলী | xg38=bizli
Row 873: e52=electronic | vinqi=इलेक्ट्रोनिक | pnzabi=ইলেক্ট্রোনিক | guzraji=ইলেক্ট্রোনিক | xg38=ilektronik
Row 874: e52=element | vinqi=तत्व | pnzabi=তত্঵ | guzraji=তত্঵ | xg38=jjw
Row 875: e52=elementary | vinqi=प्राथमिक | pnzabi=প্রাথমিক | guzraji=প্রাথমিক | xg38=praJmik
Row 876: e52=eliminate | vinqi=हटाना | pnzabi=হটানা | guzraji=হটানা | xg38=vtana
Row 877: e52=elite | vinqi=अभिजात वर्ग | pnzabi=অভিজাত ঵র্গ | guzraji=অভিজাত ঵র্গ | xg38=xBizaj wrg
Row 878: e52=else | vinqi=वरना | pnzabi=঵রনা | guzraji=঵রনা | xg38=wrna
Row 879: e52=elsewhere | vinqi=कहीं | pnzabi=কহীং | guzraji=কহীং | xg38=kvi
Row 880: e52=e-mail | vinqi=ईमेल | pnzabi=ঈমেল | guzraji=ঈমেল | xg38=imel
Row 881: e52=embrace | vinqi=अपनाना | pnzabi=অপনানা | guzraji=অপনানা | xg38=xpnana
Row 882: e52=emerge | vinqi=उभरना | pnzabi=উভরনা | guzraji=উভরনা | xg38=uBrna
Row 883: e52=emergency | vinqi=आपातकालीन | pnzabi=আপাতকালীন | guzraji=আপাতকালীন | xg38=xapajkalin
Row 884: e52=emission | vinqi=उत्सर्जन | pnzabi=উত্সর্জন | guzraji=উত্সর্জন | xg38=ujsrzn
Row 885: e52=emotion | vinqi=भावना | pnzabi=ভা঵না | guzraji=ভা঵না | xg38=Bawna
Row 886: e52=emotional | vinqi=भावनात्मक | pnzabi=ভা঵নাত্মক | guzraji=ভা঵নাত্মক | xg38=Bawnajmk
Row 887: e52=emphasis | vinqi=ज़ोर | pnzabi=জ়োর | guzraji=জ়োর | xg38=zor
Row 888: e52=emphasize | vinqi=ज़ोर देना | pnzabi=জ়োর দেনা | guzraji=জ়োর দেনা | xg38=zor qena
Row 889: e52=employ | vinqi=काम | pnzabi=কাম | guzraji=কাম | xg38=kam
Row 890: e52=employee | vinqi=कर्मचारी | pnzabi=কর্মচারী | guzraji=কর্মচারী | xg38=krmcari
Row 891: e52=employer | vinqi=नियोक्ता | pnzabi=নিযোক্তা | guzraji=নিযোক্তা | xg38=niyokja
Row 892: e52=employment | vinqi=रोज़गार | pnzabi=রোজ়গার | guzraji=রোজ়গার | xg38=rozgar
Row 893: e52=empty | vinqi=खाली | pnzabi=খালী | guzraji=খালী | xg38=Kali
Row 894: e52=enable | vinqi=सक्षम करना | pnzabi=সক্ষম করনা | guzraji=সক্ষম করনা | xg38=sSm krna
Row 895: e52=encounter | vinqi=मुठभेड़ | pnzabi=মুঠভেড় | guzraji=মুঠভেড় | xg38=muTBeR
Row 896: e52=encourage | vinqi=प्रोत्साहित करना | pnzabi=প্রোত্সাহিত করনা | guzraji=প্রোত্সাহিত করনা | xg38=projsavij krna
Row 897: e52=end | vinqi=समाप्त | pnzabi=সমাপ্ত | guzraji=সমাপ্ত | xg38=smapj
Row 898: e52=enemy | vinqi=शत्रु | pnzabi=শত্রু | guzraji=শত্রু | xg38=Sjru
Row 899: e52=energy | vinqi=ऊर्जा | pnzabi=ঊর্জা | guzraji=ঊর্জা | xg38=urza
Row 900: e52=enforcement | vinqi=प्रवर्तन | pnzabi=প্র঵র্তন | guzraji=প্র঵র্তন | xg38=prwrjn
Row 901: e52=engage | vinqi=व्यस्त रखना | pnzabi=঵্যস্ত রখনা | guzraji=঵্যস্ত রখনা | xg38=wysj rKna
Row 902: e52=engine | vinqi=यन्त्र | pnzabi=যন্ত্র | guzraji=যন্ত্র | xg38=ynjr
Row 903: e52=engineer | vinqi=इंजीनियर | pnzabi=ইংজীনিযর | guzraji=ইংজীনিযর | xg38=inziniyr
Row 904: e52=engineering | vinqi=अभियांत्रिकी | pnzabi=অভিযাংত্রিকী | guzraji=অভিযাংত্রিকী | xg38=xBiyanjriki
Row 905: e52=english | vinqi=अंग्रेज़ी | pnzabi=অংগ্রেজ়ী | guzraji=অংগ্রেজ়ী | xg38=xNgrezi
Row 906: e52=enhance | vinqi=बढ़ाना | pnzabi=বঢ়ানা | guzraji=বঢ়ানা | xg38=bRana
Row 907: e52=enjoy | vinqi=का आनंद लें | pnzabi=কা আনংদ লেং | guzraji=কা আনংদ লেং | xg38=ka xannq le
Row 908: e52=enormous | vinqi=विशाल | pnzabi=঵িশাল | guzraji=঵িশাল | xg38=wiSal
Row 909: e52=enough | vinqi=पर्याप्त | pnzabi=পর্যাপ্ত | guzraji=পর্যাপ্ত | xg38=pryapj
Row 910: e52=ensure | vinqi=सुनिश्चित करना | pnzabi=সুনিশ্চিত করনা | guzraji=সুনিশ্চিত করনা | xg38=suniScij krna
Row 911: e52=enter | vinqi=प्रवेश करना | pnzabi=প্র঵েশ করনা | guzraji=প্র঵েশ করনা | xg38=prweS krna
Row 912: e52=enterprise | vinqi=उद्यम | pnzabi=উদ্যম | guzraji=উদ্যম | xg38=uqym
Row 913: e52=entertainment | vinqi=मनोरंजन | pnzabi=মনোরংজন | guzraji=মনোরংজন | xg38=mnornzn
Row 914: e52=entire | vinqi=संपूर्ण | pnzabi=সংপূর্ণ | guzraji=সংপূর্ণ | xg38=smpurn
Row 915: e52=entirely | vinqi=पूरी तरह से | pnzabi=পূরী তরহ সে | guzraji=পূরী তরহ সে | xg38=puri jrv se
Row 916: e52=entrance | vinqi=प्रवेश | pnzabi=প্র঵েশ | guzraji=প্র঵েশ | xg38=prweS
Row 917: e52=entry | vinqi=प्रवेश | pnzabi=প্র঵েশ | guzraji=প্র঵েশ | xg38=prweS
Row 918: e52=environment | vinqi=वातावरण | pnzabi=঵াতা঵রণ | guzraji=঵াতা঵রণ | xg38=wajawrn
Row 919: e52=environmental | vinqi=पर्यावरण | pnzabi=পর্যা঵রণ | guzraji=পর্যা঵রণ | xg38=pryawrn
Row 920: e52=episode | vinqi=प्रकरण | pnzabi=প্রকরণ | guzraji=প্রকরণ | xg38=prkrn
Row 921: e52=equal | vinqi=बराबर | pnzabi=বরাবর | guzraji=বরাবর | xg38=brabr
Row 922: e52=equally | vinqi=समान रूप से | pnzabi=সমান রূপ সে | guzraji=সমান রূপ সে | xg38=sman rup se
Row 923: e52=equipment | vinqi=उपकरण | pnzabi=উপকরণ | guzraji=উপকরণ | xg38=upkrn
Row 924: e52=era | vinqi=युग | pnzabi=যুগ | guzraji=যুগ | xg38=yug
Row 925: e52=error | vinqi=गलती | pnzabi=গলতী | guzraji=গলতী | xg38=glji
Row 926: e52=escape | vinqi=बच निकलना | pnzabi=বচ নিকলনা | guzraji=বচ নিকলনা | xg38=bc niklna
Row 927: e52=especially | vinqi=विशेषकर | pnzabi=঵িশেষকর | guzraji=঵িশেষকর | xg38=wiSeskr
Row 928: e52=essay | vinqi=निबंध | pnzabi=নিবংধ | guzraji=নিবংধ | xg38=nibnQ
Row 929: e52=essential | vinqi=ज़रूरी | pnzabi=জ়রূরী | guzraji=জ়রূরী | xg38=zruri
Row 930: e52=essentially | vinqi=अनिवार्य रूप से | pnzabi=অনি঵ার্য রূপ সে | guzraji=অনি঵ার্য রূপ সে | xg38=xniwary rup se
Row 931: e52=establish | vinqi=स्थापित करना | pnzabi=স্থাপিত করনা | guzraji=স্থাপিত করনা | xg38=sJapij krna
Row 932: e52=establishment | vinqi=स्थापना | pnzabi=স্থাপনা | guzraji=স্থাপনা | xg38=sJapna
Row 933: e52=estate | vinqi=जागीर | pnzabi=জাগীর | guzraji=জাগীর | xg38=zagir
Row 934: e52=estimate | vinqi=आकलन | pnzabi=আকলন | guzraji=আকলন | xg38=xakln
Row 935: e52=etc | vinqi=आदि | pnzabi=আদি | guzraji=আদি | xg38=xaqi
Row 936: e52=ethics | vinqi=आचार विचार | pnzabi=আচার ঵িচার | guzraji=আচার ঵িচার | xg38=xacar wicar
Row 937: e52=ethnic | vinqi=संजाति विषयक | pnzabi=সংজাতি ঵িষযক | guzraji=সংজাতি ঵িষযক | xg38=snzaji wisyk
Row 938: e52=european | vinqi=यूरोपीय | pnzabi=যূরোপীয | guzraji=যূরোপীয | xg38=yuropiy
Row 939: e52=evaluate | vinqi=मूल्यांकन करना | pnzabi=মূল্যাংকন করনা | guzraji=মূল্যাংকন করনা | xg38=mulyaNkn krna
Row 940: e52=evaluation | vinqi=मूल्यांकन | pnzabi=মূল্যাংকন | guzraji=মূল্যাংকন | xg38=mulyaNkn
Row 941: e52=even | vinqi=यहाँ तक की | pnzabi=যহাঁ তক কী | guzraji=যহাঁ তক কী | xg38=yva jk ki
Row 942: e52=evening | vinqi=शाम | pnzabi=শাম | guzraji=শাম | xg38=Sam
Row 943: e52=event | vinqi=प्रतिस्पर्धा | pnzabi=প্রতিস্পর্ধা | guzraji=প্রতিস্পর্ধা | xg38=prjisprQa
Row 944: e52=eventually | vinqi=आखिरकार | pnzabi=আখিরকার | guzraji=আখিরকার | xg38=xaKirkar
Row 945: e52=ever | vinqi=कभी | pnzabi=কভী | guzraji=কভী | xg38=kBi
Row 946: e52=every | vinqi=हर एक | pnzabi=হর এক | guzraji=হর এক | xg38=vr ek
Row 947: e52=everybody | vinqi=हर कोई | pnzabi=হর কোঈ | guzraji=হর কোঈ | xg38=vr koi
Row 948: e52=everyday | vinqi=हर दिन | pnzabi=হর দিন | guzraji=হর দিন | xg38=vr qin
Row 949: e52=everyone | vinqi=हर कोई | pnzabi=হর কোঈ | guzraji=হর কোঈ | xg38=vr koi
Row 950: e52=everything | vinqi=हर चीज़ | pnzabi=হর চীজ় | guzraji=হর চীজ় | xg38=vr ciz
Row 951: e52=everywhere | vinqi=हर जगह | pnzabi=হর জগহ | guzraji=হর জগহ | xg38=vr zgv
Row 952: e52=evidence | vinqi=प्रमाण | pnzabi=প্রমাণ | guzraji=প্রমাণ | xg38=prman
Row 953: e52=evolution | vinqi=क्रमागत उन्नति | pnzabi=ক্রমাগত উন্নতি | guzraji=ক্রমাগত উন্নতি | xg38=krmagj unnji
Row 954: e52=evolve | vinqi=विकसित होना | pnzabi=঵িকসিত হোনা | guzraji=঵িকসিত হোনা | xg38=wiksij vona
Row 955: e52=exact | vinqi=सटीक | pnzabi=সটীক | guzraji=সটীক | xg38=stik
Row 956: e52=exactly | vinqi=बिल्कुल | pnzabi=বিল্কুল | guzraji=বিল্কুল | xg38=bilkul
Row 957: e52=examination | vinqi=इंतिहान | pnzabi=ইংতিহান | guzraji=ইংতিহান | xg38=injivan
Row 958: e52=examine | vinqi=की जांच | pnzabi=কী জাংচ | guzraji=কী জাংচ | xg38=ki zanc
Row 959: e52=example | vinqi=उदाहरण | pnzabi=উদাহরণ | guzraji=উদাহরণ | xg38=uqavrn
Row 960: e52=exceed | vinqi=सीमा पार करना | pnzabi=সীমা পার করনা | guzraji=সীমা পার করনা | xg38=sima par krna
Row 961: e52=excellent | vinqi=अति उत्कृष्ट | pnzabi=অতি উত্কৃষ্ট | guzraji=অতি উত্কৃষ্ট | xg38=xji ujkrst
Row 962: e52=except | vinqi=के अलावा | pnzabi=কে অলা঵া | guzraji=কে অলা঵া | xg38=ke xlawa
Row 963: e52=exception | vinqi=अपवाद | pnzabi=অপ঵াদ | guzraji=অপ঵াদ | xg38=xpwaq
Row 964: e52=exchange | vinqi=लेन देन | pnzabi=লেন দেন | guzraji=লেন দেন | xg38=len qen
Row 965: e52=exciting | vinqi=रोमांचक | pnzabi=রোমাংচক | guzraji=রোমাংচক | xg38=romanck
Row 966: e52=executive | vinqi=कार्यपालक | pnzabi=কার্যপালক | guzraji=কার্যপালক | xg38=karypalk
Row 967: e52=exercise | vinqi=व्यायाम | pnzabi=঵্যাযাম | guzraji=঵্যাযাম | xg38=wyayam
Row 968: e52=exhibit | vinqi=दिखाना | pnzabi=দিখানা | guzraji=দিখানা | xg38=qiKana
Row 969: e52=exhibition | vinqi=प्रदर्शनी | pnzabi=প্রদর্শনী | guzraji=প্রদর্শনী | xg38=prqrSni
Row 970: e52=exist | vinqi=मौजूद | pnzabi=মৌজূদ | guzraji=মৌজূদ | xg38=mouzuq
Row 971: e52=existence | vinqi=अस्तित्व | pnzabi=অস্তিত্঵ | guzraji=অস্তিত্঵ | xg38=xsjijw
Row 972: e52=existing | vinqi=मौजूदा | pnzabi=মৌজূদা | guzraji=মৌজূদা | xg38=mouzuqa
Row 973: e52=expand | vinqi=विस्तार | pnzabi=঵িস্তার | guzraji=঵িস্তার | xg38=wisjar
Row 974: e52=expansion | vinqi=विस्तार | pnzabi=঵িস্তার | guzraji=঵িস্তার | xg38=wisjar
Row 975: e52=expect | vinqi=अपेक्षा करना | pnzabi=অপেক্ষা করনা | guzraji=অপেক্ষা করনা | xg38=xpeSa krna
Row 976: e52=expectation | vinqi=अपेक्षा | pnzabi=অপেক্ষা | guzraji=অপেক্ষা | xg38=xpeSa
Row 977: e52=expense | vinqi=व्यय | pnzabi=঵্যয | guzraji=঵্যয | xg38=wyy
Row 978: e52=expensive | vinqi=महंगा | pnzabi=মহংগা | guzraji=মহংগা | xg38=mvNga
Row 979: e52=experience | vinqi=अनुभव | pnzabi=অনুভ঵ | guzraji=অনুভ঵ | xg38=xnuBw
Row 980: e52=experiment | vinqi=प्रयोग | pnzabi=প্রযোগ | guzraji=প্রযোগ | xg38=pryog
Row 981: e52=expert | vinqi=विशेषज्ञ | pnzabi=঵িশেষজ্ঞ | guzraji=঵িশেষজ্ঞ | xg38=wiSesgy
Row 982: e52=explain | vinqi=समझाना | pnzabi=সমঝানা | guzraji=সমঝানা | xg38=smZana
Row 983: e52=explanation | vinqi=व्याख्या | pnzabi=঵্যাখ্যা | guzraji=঵্যাখ্যা | xg38=wyaKya
Row 984: e52=explode | vinqi=विस्फोट | pnzabi=঵িস্ফোট | guzraji=঵িস্ফোট | xg38=wisfot
Row 985: e52=explore | vinqi=अन्वेषण करना | pnzabi=অন্঵েষণ করনা | guzraji=অন্঵েষণ করনা | xg38=xnwesn krna
Row 986: e52=explosion | vinqi=विस्फोट | pnzabi=঵িস্ফোট | guzraji=঵িস্ফোট | xg38=wisfot
Row 987: e52=expose | vinqi=खुलासा | pnzabi=খুলাসা | guzraji=খুলাসা | xg38=Kulasa
